,iterations
2842,74
2843,74
2844,1
2845,95
2846,72
2847,133
2848,71
2849,148
2850,144
2851,156
2852,347
2853,156
2854,1520
2855,594
2856,157
2857,2477
2858,0
2859,462
2860,323
2861,0
2862,157
2863,144
2864,30
2865,174
2866,258
2867,167
2868,1104
2869,1099
2870,155
2871,304
2872,161
2873,246
2874,352
2875,7
2876,248
2877,1763
2878,334
2879,334
2880,29
2881,283
2882,355
2883,179
2884,27
2885,0
2886,280
2887,178
2888,519
2889,445
2890,277
2891,294
2892,159
2893,419
2894,145
2895,30
2896,299
2897,158
2898,377
2899,147
2900,796
2901,17
2902,323
2903,17
2904,167
2905,32
2906,174
2907,32
2908,364
2909,159
2910,181
2911,182
2912,1005
2913,534
2914,467
2915,12
2916,10
2917,18
2918,30
2919,2123
2920,0
2921,2177
2922,1989
2923,0
2924,0
2925,0
2926,1135
2927,551
2928,0
2929,539
2930,1628
2931,1085
2932,297
2933,992
2934,596
2935,204
2936,1724
2937,508
2938,1741
2939,704
2940,1
2941,1
2942,1
2943,2
2944,1
2945,1
2946,1
2947,1
2948,0
2949,1770
2950,2
2951,1
2952,4
2953,0
